Time, Pos.x, Pos.y, Pos.z, Rot.x, Rot.y, Rot.z
11.36801,4.04,0,0,0,0,0
11.41947,4.09,0,0,0,0,0
11.47461,4.09,0,0,0,0,0
11.52499,4.09,0,0,0,0,0
11.57583,4.09,0,0,0,0,0
11.62882,4.09,0,0,0,0,0
11.68087,3.97,0,0,0,0,0
11.75049,3.8,0,0,0,0,0
11.8049,3.67,0,0,0,0,0
11.86697,3.61,0,0,0,0,0
11.91905,3.61,0,0,0,0,0
11.97123,3.61,0,0,0,0,0
12.02299,3.61,0,0,0,0,0
12.07343,3.61,0,0,0,0,0
12.12467,3.61,0,0,0,0,0
12.17485,3.61,0,0,0,0,0
12.22505,3.61,0,0,0,0,0
12.28072,3.61,0,0,0,0,0
12.33127,3.61,0,0,0,0,0
12.38189,3.61,0,0,0,0,0
12.43866,3.61,0,0,0,0,0
12.49509,3.61,0,0,0,0,0
12.5458,3.61,0,0,0,0,0
12.59788,3.61,0,0,0,0,0
12.65063,3.61,0,0,0,0,0
12.71606,3.61,0,0,0,0,0
12.76633,3.61,0,0,0,0,0
12.82238,3.61,0,0,0,0,0
12.87636,3.61,0,0,0,0,0
12.93173,3.61,0,0,0,0,0
12.98226,3.61,0,0,0,0,0
13.03268,3.61,0,0,0,0,0
13.08912,3.61,0,0,0,0,0
13.14044,3.61,0,0,0,0,0
13.19242,3.61,0,0,0,0,0
13.24326,3.61,0,0,0,0,0
13.29666,3.61,0,0,0,0,0
13.35223,3.61,0,0,0,0,0
13.40588,3.61,0,0,0,0,0
13.4616,3.61,0,0,0,0,0
13.51765,3.61,0,0,0,0,0
13.57019,3.61,0,0,0,0,0
13.62242,3.61,0,0,0,0,0
13.68524,3.61,0,0,0,0,0
13.74917,3.61,0,0,0,0,0
13.8003,3.61,0,0,0,0,0
13.85577,3.61,0,0,0,0,0
13.91017,3.61,0,0,0,0,0
13.96153,3.61,0,0,0,0,0
14.01704,3.61,0,0,0,0,0
14.07329,3.61,0,0,0,0,0
14.12903,3.61,0,0,0,0,0
14.18354,3.61,0,0,0,0,0
14.23908,3.61,0,0,0,0,0
14.2963,3.61,0,0,0,0,0
14.34649,3.61,0,0,0,0,0
14.3994,3.61,0,0,0,0,0
14.45259,3.61,0,0,0,0,0
14.50838,3.61,0,0,0,0,0
14.56263,3.61,0,0,0,0,0
14.61288,3.61,0,0,0,0,0
14.66347,3.61,0,0,0,0,0
14.71679,3.61,0,0,0,0,0
14.7681,3.61,0,0,0,0,0
14.82213,3.61,0,0,0,0,0
14.87668,3.61,0,0,0,0,0
14.92681,3.61,0,0,0,0,0
14.97775,3.61,0,0,0,0,0
15.03019,3.61,0,0,0,0,0
15.08069,3.61,0,0,0,0,0
15.13435,3.61,0,0,0,0,0
15.18742,3.61,0,0,0,0,0
15.23858,3.61,0,0,0,0,0
15.29,3.61,0,0,0,0,0
15.34267,3.61,0,0,0,0,0
15.39383,3.61,0,0,0,0,0
15.4468,3.61,0,0,0,0,0
15.49699,3.61,0,0,0,0,0
15.54717,3.61,0,0,0,0,0
15.6006,3.61,0,0,0,0,0
15.6514,3.61,0,0,0,0,0
15.7044,3.61,0,0,0,0,0
15.75671,3.61,0,0,0,0,0
15.81083,3.61,0,0,0,0,0
15.86275,3.61,0,0,0,0,0
15.91363,3.61,0,0,0,0,0
15.9637,3.61,0,0,0,0,0
16.0167,3.61,0,0,0,0,0
16.06719,3.61,0,0,0,0,0
16.11721,3.61,0,0,0,0,0
16.1709,3.61,0,0,0,0,0
16.22108,3.61,0,0,0,0,0
16.27504,3.61,0,0,0,0,0
16.32576,3.61,0,0,0,0,0
16.38,3.61,0,0,0,0,0
16.43376,3.61,0,0,0,0,0
16.48386,3.61,0,0,0,0,0
16.5374,3.61,0,0,0,0,0
16.59028,3.61,0,0,0,0,0
16.64713,3.61,0,0,0,0,0
16.70067,3.61,0,0,0,0,0
16.76187,3.61,0,0,0,0,0
16.81697,3.61,0,0,0,0,0
16.87417,3.61,0,0,0,0,0
16.93121,3.61,0,0,0,0,0
16.98204,3.61,0,0,0,0,0
17.03394,3.61,0,0,0,0,0
17.08994,3.61,0,0,0,0,0
17.14524,3.61,0,0,0,0,0
17.19849,3.61,0,0,0,0,0
17.25079,3.61,0,0,0,0,0
